Date,Close,High,Low,Open,Volume
2020-01-01,687.74,695.71,685.87,691.57,14004468
2020-01-02,699.45,702.02,688.83,688.83,17710316
2020-01-03,700.29,702.34,693.85,698.4,20984698
2020-01-06,684.05,696.08,682.46,692.48,24519177
2020-01-07,694.57,699.08,689.52,692.02,16683622
2020-01-08,689.36,699.06,687.92,690.2,16047902
2020-01-09,705.23,706.15,697.6,700.95,14982742
2020-01-10,705.08,709.77,701.43,707.01,12478359
2020-01-13,703.28,710.11,700.86,703.89,18282382
2020-01-14,696.76,706.15,693.32,701.59,15816535
2020-01-15,694.23,701.54,691.68,699.7,15817859
2020-01-16,700.63,703.12,696.12,696.58,12847975
2020-01-17,720.27,722.07,707.6,707.74,29463471
2020-01-20,698.11,733.03,695.39,733.03,32545850
2020-01-21,698.81,704.26,693.39,696.4,18922720
2020-01-22,698.56,704.67,697.54,703.41,10322817
2020-01-23,695.6,702.48,692.8,700.0,11247739
2020-01-24,693.18,699.93,691.82,695.67,14628445
2020-01-27,686.35,694.51,685.65,690.16,13387750
2020-01-28,670.5,687.92,666.78,687.29,24532236
2020-01-29,674.19,680.82,666.99,671.54,24746565
2020-01-30,657.74,674.12,656.03,673.8,22402689
2020-01-31,643.12,662.07,641.09,661.95,34750310
2020-02-03,631.2,637.79,620.98,624.1,30712290
2020-02-04,649.84,652.62,636.81,637.81,25383901
2020-02-05,659.9,661.86,651.61,653.71,18472100
2020-02-06,664.14,668.33,656.08,662.46,15538577
2020-02-07,653.14,661.66,650.7,661.04,12209212
2020-02-10,654.03,658.54,642.57,650.57,15142476
2020-02-11,661.84,667.97,658.33,659.4,13999816
2020-02-12,669.84,671.91,662.87,663.39,13533565
2020-02-13,671.59,673.23,666.33,673.23,13565659
2020-02-14,677.72,684.03,662.0,673.0,21227841
2020-02-17,673.46,686.17,671.66,678.36,13149130
2020-02-18,668.52,672.39,663.96,672.39,11127161
2020-02-19,685.1,686.31,672.02,673.96,14084409
2020-02-20,676.97,687.01,675.99,682.0,16892268
2020-02-24,658.29,672.89,655.83,669.59,21370214
2020-02-25,645.28,661.23,642.37,661.23,27745062
2020-02-26,634.16,643.44,632.05,642.37,29362748
2020-02-27,631.55,634.98,623.69,632.34,25054993
2020-02-28,605.3,618.22,603.64,617.26,39315769
2020-03-02,599.61,623.69,592.75,617.35,29500495
2020-03-03,611.77,616.81,602.27,605.78,27398798
2020-03-04,610.34,616.76,595.85,615.94,22105261
2020-03-05,597.33,618.65,594.98,616.03,30510390
2020-03-06,579.04,586.85,565.42,578.58,33734039
2020-03-09,507.58,565.37,498.86,564.94,88187018
2020-03-11,525.53,536.88,504.78,504.78,59578576
2020-03-12,484.28,501.59,477.76,494.3,55970485
2020-03-13,503.55,519.36,429.34,454.67,73297403
2020-03-16,462.73,491.89,457.86,483.16,38482258
2020-03-17,459.22,482.91,457.04,477.1,45445979
2020-03-18,441.23,471.93,437.81,467.1,44730415
2020-03-19,418.08,440.54,406.47,419.18,61404010
2020-03-20,463.76,471.48,423.69,428.02,63360475
2020-03-23,402.75,432.8,398.93,417.4,40670949
2020-03-24,429.79,441.91,408.11,423.69,45734887
2020-03-25,493.05,524.62,438.84,439.09,73130298
2020-03-26,485.74,508.84,474.87,499.22,45744488
2020-03-27,485.46,504.46,476.63,498.86,41657940
2020-03-30,469.45,489.66,464.69,474.07,30229866
2020-03-31,507.4,514.71,477.45,489.27,44292810
2020-04-01,492.23,512.34,476.17,511.27,41597459
2020-04-03,490.86,516.83,481.23,516.83,41367807
2020-04-07,549.47,553.07,501.14,502.09,54373624
2020-04-08,543.12,559.91,528.47,537.58,49880330
2020-04-09,555.78,561.64,543.5,553.07,33032857
2020-04-13,541.75,553.53,537.58,548.49,23673784
2020-04-15,523.85,563.09,520.73,545.35,35321842
2020-04-16,532.14,540.98,521.64,523.85,37455706
2020-04-17,557.63,560.36,543.35,553.98,33269335
2020-04-20,566.65,572.66,547.6,558.54,36030932
2020-04-21,563.71,570.38,530.29,551.25,61371628
2020-04-22,621.23,630.93,592.25,601.36,142683366
2020-04-23,624.55,631.36,616.53,622.93,65464502
2020-04-24,645.55,681.07,613.75,615.1,134986308
2020-04-27,651.36,671.98,648.29,653.3,58482901
2020-04-28,650.63,663.07,634.23,660.59,78453401
2020-04-29,650.09,662.25,646.92,658.26,37494672
2020-04-30,667.88,681.07,655.14,662.39,71345899
2020-05-04,653.85,667.42,645.76,656.03,53456868
2020-05-05,665.44,673.8,659.31,662.27,44903763
2020-05-06,665.49,676.51,658.54,666.97,40489094
2020-05-07,686.53,689.59,658.31,662.87,50026966
2020-05-08,711.52,719.77,700.27,703.87,84262770
2020-05-11,718.36,735.76,716.31,719.81,67085063
2020-05-12,673.91,714.51,667.42,712.89,100683202
2020-05-13,688.21,702.26,668.69,702.26,66430125
2020-05-14,660.39,688.33,657.68,675.59,49266771
